jladmin1code,CLICKS,JOBS,COMPANIES,JOBSEEKERS,jobseekers_per_job
c,11379,227,58,5009,22
ce,1852,63,14,1097,17
cn,1277,38,18,732,19
cw,804,21,8,509,24
d,41395,347,105,14427,42
dl,3701,88,19,1628,18
g,4996,84,40,2269,27
ke,6781,100,47,3510,35
kk,2673,69,24,1486,22
ky,2584,50,16,1460,29
ld,1033,20,12,692,35
lh,5752,57,32,2861,50
lk,4420,62,24,2037,33
lm,764,29,9,526,18
ls,2457,40,16,1542,39
mh,5669,73,32,3254,45
mn,1116,28,13,702,25
mo,3347,65,20,1970,30
oy,1861,41,16,1104,27
rn,890,30,14,579,19
so,1843,53,16,958,18
ta,2037,58,24,1268,22
unknown,701,2,2,649,324
wd,1905,44,13,1074,24
wh,2120,40,18,1122,28
ww,4177,65,27,2895,45
wx,3303,72,26,1916,27